1 1.41421e+11 1.41421e+11 -1.41421e+11 -1.41421e+11 0 -0 -0 0 1.41421e+11 -1.41421e+11 -1.41421e+11 1.41421e+11
2 -4e+18 -4e+18 4e+18 4e+18 2.82843e+18 -0 -2.82843e+18 0 -6e+18 6e+18 6e+18 -6e+18
3 1.13137e+26 1.13137e+26 -1.13137e+26 -1.13137e+26 -1.76569e+26 0 1.76569e+26 -0 2.94558e+26 -2.94558e+26 -2.94558e+26 2.94558e+26
4 -3.2e+33 -3.2e+33 3.2e+33 3.2e+33 9.42254e+33 -0 -9.42254e+33 0 -1.49941e+34 1.49941e+34 1.49941e+34 -1.49941e+34
5 9.05097e+40 9.05097e+40 -9.05097e+40 -9.05097e+40 -4.88333e+41 0 4.88333e+41 -0 7.69401e+41 -7.69401e+41 -7.69401e+41 7.69401e+41
6 -2.56e+48 -2.56e+48 2.56e+48 2.56e+48 2.51547e+49 -0 -2.51547e+49 0 -3.9549e+49 3.9549e+49 3.9549e+49 -3.9549e+49
7 7.24077e+55 7.24077e+55 -7.24077e+55 -7.24077e+55 -1.29407e+57 0 1.29407e+57 -0 2.03366e+57 -2.03366e+57 -2.03366e+57 2.03366e+57
8 -2.048e+63 -2.048e+63 2.048e+63 2.048e+63 6.65547e+64 -0 -6.65547e+64 0 -1.04582e+65 1.04582e+65 1.04582e+65 -1.04582e+65
9 5.79262e+70 5.79262e+70 -5.79262e+70 -5.79262e+70 -3.42273e+72 0 3.42273e+72 -0 5.37826e+72 -5.37826e+72 -5.37826e+72 5.37826e+72
10 -1.6384e+78 -1.6384e+78 1.6384e+78 1.6384e+78 1.7602e+80 -0 -1.7602e+80 0 -2.76585e+80 2.76585e+80 2.76585e+80 -2.76585e+80
11 4.63409e+85 4.63409e+85 -4.63409e+85 -4.63409e+85 -9.0521e+87 0 9.0521e+87 -0 1.42238e+88 -1.42238e+88 -1.42238e+88 1.42238e+88
12 -1.31072e+93 -1.31072e+93 1.31072e+93 1.31072e+93 4.65518e+95 -0 -4.65518e+95 0 -7.31481e+95 7.31481e+95 7.31481e+95 -7.31481e+95
13 3.70727e+100 3.70727e+100 -3.70727e+100 -3.70727e+100 -2.394e+103 0 2.394e+103 -0 3.76175e+103 -3.76175e+103 -3.76175e+103 3.76175e+103
14 -1.04858e+108 -1.04858e+108 1.04858e+108 1.04858e+108 1.23115e+111 -0 -1.23115e+111 0 -1.93454e+111 1.93454e+111 1.93454e+111 -1.93454e+111
15 2.96582e+115 2.96582e+115 -2.96582e+115 -2.96582e+115 -6.33138e+118 0 6.33138e+118 -0 9.94867e+118 -9.94867e+118 -9.94867e+118 9.94867e+118
16 -8.3886e+122 -8.3886e+122 8.3886e+122 8.3886e+122 3.25601e+126 -0 -3.25601e+126 0 -5.11625e+126 5.11625e+126 5.11625e+126 -5.11625e+126
17 2.37266e+130 2.37266e+130 -2.37266e+130 -2.37266e+130 -1.67445e+134 0 1.67445e+134 -0 2.63111e+134 -2.63111e+134 -2.63111e+134 2.63111e+134
18 -6.71088e+137 -6.71088e+137 6.71088e+137 6.71088e+137 8.61113e+141 -0 -8.61113e+141 0 -1.35309e+142 1.35309e+142 1.35309e+142 -1.35309e+142
19 1.89812e+145 1.89812e+145 -1.89812e+145 -1.89812e+145 -4.4284e+149 0 4.4284e+149 -0 6.95847e+149 -6.95847e+149 -6.95847e+149 6.95847e+149
20 -5.36871e+152 -5.36871e+152 5.36871e+152 5.36871e+152 2.27737e+157 -0 -2.27737e+157 0 -3.5785e+157 3.5785e+157 3.5785e+157 -3.5785e+157
21 1.5185e+160 1.5185e+160 -1.5185e+160 -1.5185e+160 -1.17117e+165 0 1.17117e+165 -0 1.8403e+165 -1.8403e+165 -1.8403e+165 1.8403e+165
22 -4.29496e+167 -4.29496e+167 4.29496e+167 4.29496e+167 6.02295e+172 -0 -6.02295e+172 0 -9.46401e+172 9.46401e+172 9.46401e+172 -9.46401e+172
23 1.2148e+175 1.2148e+175 -1.2148e+175 -1.2148e+175 -3.09739e+180 0 3.09739e+180 -0 4.86701e+180 -4.86701e+180 -4.86701e+180 4.86701e+180
24 -3.43597e+182 -3.43597e+182 3.43597e+182 3.43597e+182 1.59288e+188 -0 -1.59288e+188 0 -2.50294e+188 2.50294e+188 2.50294e+188 -2.50294e+188
25 9.71839e+189 9.71839e+189 -9.71839e+189 -9.71839e+189 -8.19164e+195 0 8.19164e+195 -0 1.28717e+196 -1.28717e+196 -1.28717e+196 1.28717e+196
26 -2.74878e+197 -2.74878e+197 2.74878e+197 2.74878e+197 4.21267e+203 -0 -4.21267e+203 0 -6.61949e+203 6.61949e+203 6.61949e+203 -6.61949e+203
27 7.77471e+204 7.77471e+204 -7.77471e+204 -7.77471e+204 -2.16643e+211 0 2.16643e+211 -0 3.40417e+211 -3.40417e+211 -3.40417e+211 3.40417e+211
28 -2.19902e+212 -2.19902e+212 2.19902e+212 2.19902e+212 1.11412e+219 -0 -1.11412e+219 0 -1.75065e+219 1.75065e+219 1.75065e+219 -1.75065e+219
29 6.21977e+219 6.21977e+219 -6.21977e+219 -6.21977e+219 -5.72954e+226 0 5.72954e+226 -0 9.00297e+226 -9.00297e+226 -9.00297e+226 9.00297e+226
30 -1.75922e+227 -1.75922e+227 1.75922e+227 1.75922e+227 2.9465e+234 -0 -2.9465e+234 0 -4.62992e+234 4.62992e+234 4.62992e+234 -4.62992e+234
31 4.97582e+234 4.97582e+234 -4.97582e+234 -4.97582e+234 -1.51528e+242 0 1.51528e+242 -0 2.38101e+242 -2.38101e+242 -2.38101e+242 2.38101e+242
32 -1.40737e+242 -1.40737e+242 1.40737e+242 1.40737e+242 7.79258e+249 -0 -7.79258e+249 0 -1.22447e+250 1.22447e+250 1.22447e+250 -1.22447e+250
33 3.98065e+249 3.98065e+249 -3.98065e+249 -3.98065e+249 -4.00745e+257 0 4.00745e+257 -0 6.29702e+257 -6.29702e+257 -6.29702e+257 6.29702e+257
34 -1.1259e+257 -1.1259e+257 1.1259e+257 1.1259e+257 2.06089e+265 -0 -2.06089e+265 0 -3.23834e+265 3.23834e+265 3.23834e+265 -3.23834e+265
35 3.18452e+264 3.18452e+264 -3.18452e+264 -3.18452e+264 -1.05985e+273 0 1.05985e+273 -0 1.66536e+273 -1.66536e+273 -1.66536e+273 1.66536e+273
36 -9.00719e+271 -9.00719e+271 9.00719e+271 9.00719e+271 5.45042e+280 -0 -5.45042e+280 0 -8.56439e+280 8.56439e+280 8.56439e+280 -8.56439e+280
37 2.54762e+279 2.54762e+279 -2.54762e+279 -2.54762e+279 -2.80296e+288 0 2.80296e+288 -0 4.40437e+288 -4.40437e+288 -4.40437e+288 4.40437e+288
38 -7.20575e+286 -7.20575e+286 7.20575e+286 7.20575e+286 1.44147e+296 -0 -1.44147e+296 0 -2.26501e+296 2.26501e+296 2.26501e+296 -2.26501e+296
39 2.03809e+294 2.03809e+294 -2.03809e+294 -2.03809e+294 -7.41296e+303 0 7.41296e+303 -0 1.16482e+304 -1.16482e+304 -1.16482e+304 1.16482e+304
40 -5.7646e+301 -5.7646e+301 5.7646e+301 5.7646e+301 inf nan -inf -nan(ind) -inf inf inf -inf
41 nan nan -nan(ind) -nan(ind) -inf nan inf -nan(ind) inf -inf -inf inf
42 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
43 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
44 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
45 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
46 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
47 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
48 -nan(ind) -nan(ind) nan nan nan nan -nan(ind) -nan(ind) nan nan -nan(ind) -nan(ind)
