1 0 0 2.82843e+11 0 -1.41421e+11 -1.41421e+11 -1.41421e+11 1.41421e+11
2 0 0 -1e+19 2e+18 1.17157e+18 4e+18 8.82843e+18 -6e+18
3 0 0 4.07695e+26 -1.81421e+26 6.34315e+25 -1.13137e+26 -4.71127e+26 2.94558e+26
4 0 0 -1.81941e+34 1.17941e+34 -6.22254e+33 3.2e+33 2.44167e+34 -1.49941e+34
5 0 0 8.59911e+41 -6.78891e+41 3.97823e+41 -9.05097e+40 -1.25773e+42 7.69401e+41
6 0 0 -4.2109e+49 3.6989e+49 -2.25947e+49 2.56e+48 6.47037e+49 -3.9549e+49
7 0 0 2.10607e+57 -1.96125e+57 1.22167e+57 -7.24077e+55 -3.32774e+57 2.03366e+57
8 0 0 -1.0663e+65 1.02534e+65 -6.45067e+64 2.048e+63 1.71137e+65 -1.04582e+65
9 0 0 5.43619e+72 -5.32034e+72 3.36481e+72 -5.79262e+70 -8.801e+72 5.37826e+72
10 0 0 -2.78224e+80 2.74947e+80 -1.74382e+80 1.6384e+78 4.52605e+80 -2.76585e+80
11 0 0 1.42702e+88 -1.41775e+88 9.00576e+87 -4.63409e+85 -2.32759e+88 1.42238e+88
12 0 0 -7.32792e+95 7.3017e+95 -4.64207e+95 1.31072e+93 1.197e+96 -7.31481e+95
13 0 0 3.76546e+103 -3.75805e+103 2.39029e+103 -3.70727e+100 -6.15575e+103 3.76175e+103
14 0 0 -1.93559e+111 1.93349e+111 -1.2301e+111 1.04858e+108 3.16569e+111 -1.93454e+111
15 0 0 9.95163e+118 -9.9457e+118 6.32841e+118 -2.96582e+115 -1.628e+119 9.94867e+118
16 0 0 -5.11709e+126 5.11541e+126 -3.25517e+126 8.3886e+122 8.37226e+126 -5.11625e+126
17 0 0 2.63135e+134 -2.63087e+134 1.67422e+134 -2.37266e+130 -4.30556e+134 2.63111e+134
18 0 0 -1.35316e+142 1.35302e+142 -8.61046e+141 6.71088e+137 2.2142e+142 -1.35309e+142
19 0 0 6.95866e+149 -6.95828e+149 4.42821e+149 -1.89812e+145 -1.13869e+150 6.95847e+149
20 0 0 -3.57855e+157 3.57845e+157 -2.27732e+157 5.36871e+152 5.85587e+157 -3.5785e+157
21 0 0 1.84031e+165 -1.84028e+165 1.17116e+165 -1.5185e+160 -3.01147e+165 1.8403e+165
22 0 0 -9.46406e+172 9.46397e+172 -6.0229e+172 4.29496e+167 1.5487e+173 -9.46401e+172
